,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Size,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
0,4,3735.138,0.016047301,9.3,21,2,1,False,True,False,False
1,1,443.4228,0.019278216,5.92,11,0,1,False,False,True,False
2,2,2097.27,0.016760075,17.5,21,2,1,False,True,False,False
3,3,732.38,0.0,19.2,22,0,0,True,False,False,False
4,1,994.7052,0.0,8.93,33,0,2,False,True,False,False
5,1,556.6088,0.0,10.395,11,0,1,False,False,True,False
6,1,343.5528,0.012741089,13.65,33,0,2,False,True,False,False
7,2,4022.7636,0.127469857,19.0,35,0,1,False,False,False,True
8,2,1076.5986,0.016687114,16.2,18,1,0,False,True,False,False
9,4,4710.535,0.09444959,19.2,13,1,0,False,True,False,False
10,1,1516.0266,0.0,11.8,21,2,1,False,True,False,False
11,3,2187.153,0.045463773,18.5,23,2,0,False,True,False,False
12,3,1589.2646,0.1000135,15.1,21,2,1,False,True,False,False
13,2,2145.2076,0.047257328,17.6,23,2,0,False,True,False,False
14,4,1977.426,0.0680243,16.35,33,0,2,False,True,False,False
15,1,1547.3192,0.069088961,9.0,23,2,0,False,True,False,False
16,2,1621.8888,0.008596051,11.8,11,0,1,False,False,True,False
17,1,718.3982,0.069196376,9.0,21,2,1,False,True,False,False
18,2,2303.668,0.034237682,8.26,35,0,1,False,False,False,True
19,4,2748.4224,0.10249212,13.35,16,1,0,False,True,False,False
20,4,3775.086,0.138190277,18.85,33,0,2,False,True,False,False
21,3,4064.0432,0.035399923,8.315,35,0,1,False,False,False,True
22,4,1587.2672,0.025698134,14.6,16,1,0,False,True,False,False
23,2,214.3876,0.057556998,15.5,35,2,0,True,False,False,False
24,3,4078.025,0.025896485,13.85,23,2,0,False,True,False,False
25,1,838.908,0.099887103,13.0,13,1,0,False,True,False,False
26,1,1065.28,0.066693437,7.645,16,1,0,False,True,False,False
27,1,308.9312,0.019356132,11.65,33,0,2,False,True,False,False
28,1,178.4344,0.161466534,5.925,22,0,0,True,False,False,False
29,1,125.8362,0.072221801,14.5,35,2,0,True,False,False,False
30,1,163.7868,0.170348551,19.25,22,0,0,True,False,False,False
31,2,2741.7644,0.080829372,18.6,11,0,1,False,False,True,False
32,4,3068.0064,0.0,18.7,11,0,1,False,False,True,False
33,1,2174.5028,0.0,17.85,18,1,0,False,True,False,False
34,3,2085.2856,0.097904029,17.5,23,2,0,False,True,False,False
