,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,isTrain,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
0,9.3,Low Fat,0.016047301,Drinks,4,21,1,2,3735.138,1,False,True,False,False
1,5.92,NA,0.019278216,Drinks,1,11,1,0,443.4228,1,False,False,True,False
2,17.5,Low Fat,0.016760075,Meats,2,21,1,2,2097.27,1,False,True,False,False
3,19.2,NA,0.0,Fruits and Vegetables,3,22,0,0,732.38,1,True,False,False,False
4,8.93,NA,0.0,Non perishable,1,33,2,0,994.7052,1,False,True,False,False
5,10.395,Regular,0.0,Processed Foods,1,11,1,0,556.6088,1,False,False,True,False
6,13.65,Regular,0.012741089,Processed Foods,1,33,2,0,343.5528,1,False,True,False,False
7,19.0,Low Fat,0.127469857,Processed Foods,2,35,1,0,4022.7636,1,False,False,False,True
8,16.2,Regular,0.016687114,Processed Foods,2,18,0,1,1076.5986,1,False,True,False,False
9,19.2,Regular,0.09444959,Processed Foods,4,13,0,1,4710.535,1,False,True,False,False
10,11.8,NA,0.0,Fruits and Vegetables,1,21,1,2,1516.0266,1,False,True,False,False
11,18.5,Regular,0.045463773,Drinks,3,23,0,2,2187.153,1,False,True,False,False
12,15.1,NA,0.1000135,Fruits and Vegetables,3,21,1,2,1589.2646,1,False,True,False,False
13,17.6,Regular,0.047257328,Processed Foods,2,23,0,2,2145.2076,1,False,True,False,False
14,16.35,NA,0.0680243,Fruits and Vegetables,4,33,2,0,1977.426,1,False,True,False,False
15,9.0,Regular,0.069088961,Starchy Foods,1,23,0,2,1547.3192,1,False,True,False,False
16,11.8,NA,0.008596051,Non perishable,2,11,1,0,1621.8888,1,False,False,True,False
17,9.0,Regular,0.069196376,Starchy Foods,1,21,1,2,718.3982,1,False,True,False,False
18,8.26,NA,0.034237682,Drinks,2,35,1,0,2303.668,1,False,False,False,True
19,13.35,Low Fat,0.10249212,Drinks,4,16,0,1,2748.4224,1,False,True,False,False
20,18.85,Regular,0.138190277,Processed Foods,4,33,2,0,3775.086,1,False,True,False,False
21,8.315,Regular,0.035399923,Processed Foods,3,35,1,0,4064.0432,1,False,False,False,True
22,14.6,NA,0.025698134,Non perishable,4,16,0,1,1587.2672,1,False,True,False,False
23,15.5,Low Fat,0.057556998,Processed Foods,2,35,0,2,214.3876,1,True,False,False,False
24,13.85,Regular,0.025896485,Processed Foods,3,23,0,2,4078.025,1,False,True,False,False
25,13.0,NA,0.099887103,Non perishable,1,13,0,1,838.908,1,False,True,False,False
26,7.645,Regular,0.066693437,Processed Foods,1,16,0,1,1065.28,1,False,True,False,False
27,11.65,NA,0.019356132,Drinks,1,33,2,0,308.9312,1,False,True,False,False
28,5.925,Regular,0.161466534,Drinks,1,22,0,0,178.4344,1,True,False,False,False
29,14.5,Regular,0.072221801,Processed Foods,1,35,0,2,125.8362,1,True,False,False,False
30,19.25,Low Fat,0.170348551,Drinks,1,22,0,0,163.7868,1,True,False,False,False
31,18.6,NA,0.080829372,Non perishable,2,11,1,0,2741.7644,1,False,False,True,False
32,18.7,Low Fat,0.0,Processed Foods,4,11,1,0,3068.0064,1,False,False,True,False
33,17.85,Low Fat,0.0,Starchy Foods,1,18,0,1,2174.5028,1,False,True,False,False
34,17.5,NA,0.097904029,Drinks,3,23,0,2,2085.2856,1,False,True,False,False
35,10.0,NA,0.089291137,Non perishable,3,21,1,2,3791.0652,1,False,True,False,False
